id,personaje,atuendo,pagina_personaje,fuente_imagen,licencia,fecha_consulta
ff1-arylon-apariencia_principal,Arylon,Apariencia principal,https://na.finalfantasy.com/titles/finalfantasy,,no determinada,2026-06-15
ff1-astos-apariencia_principal,Astos,Apariencia principal,https://na.finalfantasy.com/titles/finalfantasy,,no determinada,2026-06-15
ff1-bahamut-apariencia_principal,Bahamut,Apariencia principal,https://na.finalfantasy.com/titles/finalfantasy,,no determinada,2026-06-15
ff1-bikke-apariencia_principal,Bikke,Apariencia principal,https://na.finalfantasy.com/titles/finalfantasy,,no determinada,2026-06-15
ff1-chaos-apariencia_principal,Chaos,Apariencia principal,https://na.finalfantasy.com/titles/finalfantasy,,no determinada,2026-06-15
ff1-darryl-apariencia_principal,Darryl,Apariencia principal,https://na.finalfantasy.com/titles/finalfantasy,,no determinada,2026-06-15
ff1-garland-apariencia_principal,Garland,Apariencia principal,https://na.finalfantasy.com/titles/finalfantasy,,no determinada,2026-06-15
ff1-guerrero-caballero,Guerrero,Caballero,https://na.finalfantasy.com/titles/finalfantasy,,no determinada,2026-06-15
ff1-guerrero-guerrero,Guerrero,Guerrero,https://na.finalfantasy.com/titles/finalfantasy,,no determinada,2026-06-15
ff1-jim-apariencia_principal,Jim,Apariencia principal,https://na.finalfantasy.com/titles/finalfantasy,,no determinada,2026-06-15
ff1-koppe-apariencia_principal,Koppe,Apariencia principal,https://na.finalfantasy.com/titles/finalfantasy,,no determinada,2026-06-15
ff1-kraken-apariencia_principal,Kraken,Apariencia principal,https://na.finalfantasy.com/titles/finalfantasy,,no determinada,2026-06-15
ff1-ladron-ladron,Ladrón,Ladrón,https://na.finalfantasy.com/titles/finalfantasy,,no determinada,2026-06-15
ff1-ladron-ninja,Ladrón,Ninja,https://na.finalfantasy.com/titles/finalfantasy,,no determinada,2026-06-15
ff1-lich-apariencia_principal,Lich,Apariencia principal,https://na.finalfantasy.com/titles/finalfantasy,,no determinada,2026-06-15
ff1-lukahn-apariencia_principal,Lukahn,Apariencia principal,https://na.finalfantasy.com/titles/finalfantasy,,no determinada,2026-06-15
ff1-maga_blanca-hechicero_blanco,Maga Blanca,Hechicero Blanco,https://na.finalfantasy.com/titles/finalfantasy,,no determinada,2026-06-15
ff1-maga_blanca-maga_blanca,Maga Blanca,Maga Blanca,https://na.finalfantasy.com/titles/finalfantasy,,no determinada,2026-06-15
ff1-mago_negro-hechicero_negro,Mago Negro,Hechicero Negro,https://na.finalfantasy.com/titles/finalfantasy,,no determinada,2026-06-15
ff1-mago_negro-mago_negro,Mago Negro,Mago Negro,https://na.finalfantasy.com/titles/finalfantasy,,no determinada,2026-06-15
ff1-mago_rojo-hechicero_rojo,Mago Rojo,Hechicero Rojo,https://na.finalfantasy.com/titles/finalfantasy,,no determinada,2026-06-15
ff1-mago_rojo-mago_rojo,Mago Rojo,Mago Rojo,https://na.finalfantasy.com/titles/finalfantasy,,no determinada,2026-06-15
ff1-marilith-apariencia_principal,Marilith,Apariencia principal,https://na.finalfantasy.com/titles/finalfantasy,,no determinada,2026-06-15
ff1-matoya-apariencia_principal,Matoya,Apariencia principal,https://na.finalfantasy.com/titles/finalfantasy,,no determinada,2026-06-15
ff1-monje-gran_maestro,Monje,Gran Maestro,https://na.finalfantasy.com/titles/finalfantasy,,no determinada,2026-06-15
ff1-monje-monje,Monje,Monje,https://na.finalfantasy.com/titles/finalfantasy,,no determinada,2026-06-15
ff1-nerrick-apariencia_principal,Nerrick,Apariencia principal,https://na.finalfantasy.com/titles/finalfantasy,,no determinada,2026-06-15
ff1-princess_sarah-apariencia_principal,Princess Sarah,Apariencia principal,https://na.finalfantasy.com/titles/finalfantasy,,no determinada,2026-06-15
ff1-principe_elfo-apariencia_principal,Príncipe elfo,Apariencia principal,https://na.finalfantasy.com/titles/finalfantasy,,no determinada,2026-06-15
ff1-queen_jayne-apariencia_principal,Queen Jayne,Apariencia principal,https://na.finalfantasy.com/titles/finalfantasy,,no determinada,2026-06-15
ff1-scholar_une-apariencia_principal,Scholar Une,Apariencia principal,https://na.finalfantasy.com/titles/finalfantasy,,no determinada,2026-06-15
ff1-smyth-apariencia_principal,Smyth,Apariencia principal,https://na.finalfantasy.com/titles/finalfantasy,,no determinada,2026-06-15
ff1-tiamat-apariencia_principal,Tiamat,Apariencia principal,https://na.finalfantasy.com/titles/finalfantasy,,no determinada,2026-06-15
ff10-anima-apariencia_principal,Anima,Apariencia principal,https://na.finalfantasy.com/titles/finalfantasy10,,no determinada,2026-06-15
ff10-auron-apariencia_principal,Auron,Apariencia principal,https://na.finalfantasy.com/titles/finalfantasy10,,no determinada,2026-06-15
ff10-bahamut-apariencia_principal,Bahamut,Apariencia principal,https://na.finalfantasy.com/titles/finalfantasy10,,no determinada,2026-06-15
ff10-ifrit-apariencia_principal,Ifrit,Apariencia principal,https://na.finalfantasy.com/titles/finalfantasy10,,no determinada,2026-06-15
ff10-ixion-apariencia_principal,Ixion,Apariencia principal,https://na.finalfantasy.com/titles/finalfantasy10,,no determinada,2026-06-15
ff10-jecht-apariencia_principal,Jecht,Apariencia principal,https://na.finalfantasy.com/titles/finalfantasy10,,no determinada,2026-06-15
