id,personaje,atuendo,origen,archivo_local,url_fuente_oficial,licencia_o_permiso
ff1-arylon-apariencia_principal,Arylon,Apariencia principal,Final Fantasy I,,https://na.finalfantasy.com/titles/finalfantasy,uso personal; verificar antes de redistribuir
ff1-astos-apariencia_principal,Astos,Apariencia principal,Final Fantasy I,,https://na.finalfantasy.com/titles/finalfantasy,uso personal; verificar antes de redistribuir
ff1-bahamut-apariencia_principal,Bahamut,Apariencia principal,Final Fantasy I,,https://na.finalfantasy.com/titles/finalfantasy,uso personal; verificar antes de redistribuir
ff1-bikke-apariencia_principal,Bikke,Apariencia principal,Final Fantasy I,,https://na.finalfantasy.com/titles/finalfantasy,uso personal; verificar antes de redistribuir
ff1-chaos-apariencia_principal,Chaos,Apariencia principal,Final Fantasy I,,https://na.finalfantasy.com/titles/finalfantasy,uso personal; verificar antes de redistribuir
ff1-darryl-apariencia_principal,Darryl,Apariencia principal,Final Fantasy I,,https://na.finalfantasy.com/titles/finalfantasy,uso personal; verificar antes de redistribuir
ff1-garland-apariencia_principal,Garland,Apariencia principal,Final Fantasy I,,https://na.finalfantasy.com/titles/finalfantasy,uso personal; verificar antes de redistribuir
ff1-guerrero-caballero,Guerrero,Caballero,Final Fantasy I,,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,uso personal; verificar antes de redistribuir
ff1-guerrero-guerrero,Guerrero,Guerrero,Final Fantasy I,,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,uso personal; verificar antes de redistribuir
ff1-jim-apariencia_principal,Jim,Apariencia principal,Final Fantasy I,,https://na.finalfantasy.com/titles/finalfantasy,uso personal; verificar antes de redistribuir
ff1-koppe-apariencia_principal,Koppe,Apariencia principal,Final Fantasy I,,https://na.finalfantasy.com/titles/finalfantasy,uso personal; verificar antes de redistribuir
ff1-kraken-apariencia_principal,Kraken,Apariencia principal,Final Fantasy I,,https://na.finalfantasy.com/titles/finalfantasy,uso personal; verificar antes de redistribuir
ff1-ladron-ladron,Ladrón,Ladrón,Final Fantasy I,,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,uso personal; verificar antes de redistribuir
ff1-ladron-ninja,Ladrón,Ninja,Final Fantasy I,,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,uso personal; verificar antes de redistribuir
ff1-lich-apariencia_principal,Lich,Apariencia principal,Final Fantasy I,,https://na.finalfantasy.com/titles/finalfantasy,uso personal; verificar antes de redistribuir
ff1-lukahn-apariencia_principal,Lukahn,Apariencia principal,Final Fantasy I,,https://na.finalfantasy.com/titles/finalfantasy,uso personal; verificar antes de redistribuir
ff1-maga_blanca-hechicero_blanco,Maga Blanca,Hechicero Blanco,Final Fantasy I,,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,uso personal; verificar antes de redistribuir
ff1-maga_blanca-maga_blanca,Maga Blanca,Maga Blanca,Final Fantasy I,,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,uso personal; verificar antes de redistribuir
ff1-mago_negro-hechicero_negro,Mago Negro,Hechicero Negro,Final Fantasy I,,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,uso personal; verificar antes de redistribuir
ff1-mago_negro-mago_negro,Mago Negro,Mago Negro,Final Fantasy I,,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,uso personal; verificar antes de redistribuir
ff1-mago_rojo-hechicero_rojo,Mago Rojo,Hechicero Rojo,Final Fantasy I,,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,uso personal; verificar antes de redistribuir
ff1-mago_rojo-mago_rojo,Mago Rojo,Mago Rojo,Final Fantasy I,,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,uso personal; verificar antes de redistribuir
ff1-marilith-apariencia_principal,Marilith,Apariencia principal,Final Fantasy I,,https://na.finalfantasy.com/titles/finalfantasy,uso personal; verificar antes de redistribuir
ff1-matoya-apariencia_principal,Matoya,Apariencia principal,Final Fantasy I,,https://na.finalfantasy.com/titles/finalfantasy,uso personal; verificar antes de redistribuir
ff1-monje-gran_maestro,Monje,Gran Maestro,Final Fantasy I,,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,uso personal; verificar antes de redistribuir
ff1-monje-monje,Monje,Monje,Final Fantasy I,,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,uso personal; verificar antes de redistribuir
ff1-nerrick-apariencia_principal,Nerrick,Apariencia principal,Final Fantasy I,,https://na.finalfantasy.com/titles/finalfantasy,uso personal; verificar antes de redistribuir
ff1-princess_sarah-apariencia_principal,Princess Sarah,Apariencia principal,Final Fantasy I,,https://na.finalfantasy.com/titles/finalfantasy,uso personal; verificar antes de redistribuir
ff1-principe_elfo-apariencia_principal,Príncipe elfo,Apariencia principal,Final Fantasy I,,https://na.finalfantasy.com/titles/finalfantasy,uso personal; verificar antes de redistribuir
ff1-queen_jayne-apariencia_principal,Queen Jayne,Apariencia principal,Final Fantasy I,,https://na.finalfantasy.com/titles/finalfantasy,uso personal; verificar antes de redistribuir
ff1-scholar_une-apariencia_principal,Scholar Une,Apariencia principal,Final Fantasy I,,https://na.finalfantasy.com/titles/finalfantasy,uso personal; verificar antes de redistribuir
ff1-smyth-apariencia_principal,Smyth,Apariencia principal,Final Fantasy I,,https://na.finalfantasy.com/titles/finalfantasy,uso personal; verificar antes de redistribuir
ff1-tiamat-apariencia_principal,Tiamat,Apariencia principal,Final Fantasy I,,https://na.finalfantasy.com/titles/finalfantasy,uso personal; verificar antes de redistribuir
ff2-emperador_mateus_palamecia-apariencia_principal,Emperador Mateus Palamecia,Apariencia principal,Final Fantasy II,,https://na.finalfantasy.com/titles/finalfantasy2,uso personal; verificar antes de redistribuir
ff2-firion-apariencia_principal,Firion,Apariencia principal,Final Fantasy II,,https://na.finalfantasy.com/titles/finalfantasy2,uso personal; verificar antes de redistribuir
ff2-gordon-apariencia_principal,Gordon,Apariencia principal,Final Fantasy II,,https://na.finalfantasy.com/titles/finalfantasy2,uso personal; verificar antes de redistribuir
ff2-guy-apariencia_principal,Guy,Apariencia principal,Final Fantasy II,,https://na.finalfantasy.com/titles/finalfantasy2,uso personal; verificar antes de redistribuir
ff2-josef-apariencia_principal,Josef,Apariencia principal,Final Fantasy II,,https://na.finalfantasy.com/titles/finalfantasy2,uso personal; verificar antes de redistribuir
ff2-leila-apariencia_principal,Leila,Apariencia principal,Final Fantasy II,,https://na.finalfantasy.com/titles/finalfantasy2,uso personal; verificar antes de redistribuir
ff2-leon-apariencia_principal,Leon,Apariencia principal,Final Fantasy II,,https://na.finalfantasy.com/titles/finalfantasy2,uso personal; verificar antes de redistribuir
ff2-maria-apariencia_principal,María,Apariencia principal,Final Fantasy II,,https://na.finalfantasy.com/titles/finalfantasy2,uso personal; verificar antes de redistribuir
ff2-minwu-apariencia_principal,Minwu,Apariencia principal,Final Fantasy II,,https://na.finalfantasy.com/titles/finalfantasy2,uso personal; verificar antes de redistribuir
ff2-ricard_highwind-apariencia_principal,Ricard Highwind,Apariencia principal,Final Fantasy II,,https://na.finalfantasy.com/titles/finalfantasy2,uso personal; verificar antes de redistribuir
ff3-alus_restor-apariencia_principal,Alus Restor,Apariencia principal,Final Fantasy III,,https://na.finalfantasy.com/titles/finalfantasy3,uso personal; verificar antes de redistribuir
